num_insa,civilite,prenom,nom,annee,langue,email,section,groupe,decision_jury,commentaire,an,redoublant,intégré,Allemand,Espagnol,Français,Espagnol_debutant,Allemand_debutant,Espagnol_grand_debutant,Allemand_grand_debutant,Nouvelle_section,Nouveau_groupe
240742,MME,Côme,Delorme,2023,ALL,Côme.Delorme@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240743,M.,Ambre,Dufour,2023,ESP,Ambre.Dufour@insa-rouen.fr,1,D,points de jury STI,,2023,0,0,0,1,0,0,0,0,0,,
240747,M.,Sarah,Bonnet,2022-RED-1A,ESPD,Sarah.Bonnet@insa-rouen.fr,1,A,,,2022,1,0,0,0,0,1,0,0,0,,
240748,M.,Thibault,Renoult,2024 - INT 2A,ALLGD,Thibault.Renoult@insa-rouen.fr,0,,,,2024,0,1,1,0,0,0,0,0,1,,
240752,M.,Armand,Chapel,2024 - INT 2A,ESP,Armand.Chapel@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,0,0,,
240753,MME,Margaux,David,2023,ESP,Margaux.David@insa-rouen.fr,1,C,,passage en SIB ?,2023,0,0,0,1,0,0,0,0,0,,
240754,M.,Hikaru,Watanabe,2023,ESP,Hikaru.Watanabe@insa-rouen.fr,SIB,K,,,2023,0,0,0,1,0,0,0,0,0,,
240760,M.,Marina,Guillet,2023,ALL,Marina.Guillet@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240761,M.,Salma,Benkirane,2023,FLE,Salma.Benkirane@insa-rouen.fr,SIB,J,"rattrapage I2, M4",,2023,0,0,0,0,1,0,0,0,0,,
240765,M.,Bastien,Renault,2024 - INT 2A,ALL,Bastien.Renault@insa-rouen.fr,0,,,,2024,0,1,1,0,0,0,0,0,0,,
240772,MME,Virginie,Masson,2022,ALL,Virginie.Masson@insa-rouen.fr,0,SA2,,,2022,0,0,1,0,0,0,0,0,0,,
240778,M.,Alix,Hernandez,2023,ALL,Alix.Hernandez@insa-rouen.fr,2,E,"rattrapage M4, I2",,2023,0,0,1,0,0,0,0,0,0,,
240784,M.,Flavie,Dupuis,2023,ESP,Flavie.Dupuis@insa-rouen.fr,1,C,"Rattrapage I1, I2",,2023,0,0,0,1,0,0,0,0,0,,
240785,MME,Lucas,Lemoine,2023,ESPD,Lucas.Lemoine@insa-rouen.fr,1,A,"Rattrapage I1, M2",,2023,0,0,0,0,0,1,0,0,0,,
240792,MME,Mélusine,Mace,2023,ESP,Mélusine.Mace@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240801,M.,Alban,Colin,2023,ESP,Alban.Colin@insa-rouen.fr,SIB,J,,,2023,0,0,0,1,0,0,0,0,0,,
240803,M.,Sacha,Lemoine,2023,ESP,Sacha.Lemoine@insa-rouen.fr,1,B,Points de jury STI,,2023,0,0,0,1,0,0,0,0,0,,
240815,M.,Loan,Blin,2023,ESPD,Loan.Blin@insa-rouen.fr,2,F,,,2023,0,0,0,0,0,1,0,0,0,,
240828,M.,Alma,Boutin,2023,ESP,Alma.Boutin@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240831,M.,Samuel,Girard,2023,ESP,Samuel.Girard@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240833,MME,Laurine,Grenier,2023,ESPD,Laurine.Grenier@insa-rouen.fr,SIB,I,"rattrapage I2, M4",,2023,0,0,0,0,0,1,0,0,0,,
240836,MME,Constance,Grenier,2023,ALL,Constance.Grenier@insa-rouen.fr,2,F,rattrapage CTI,,2023,0,0,1,0,0,0,0,0,0,,
240837,MME,Éléonore,Vial,2023,ESP,Éléonore.Vial@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240844,M.,Florian,Boucher,2023,ALL,Florian.Boucher@insa-rouen.fr,SIB,J,,,2023,0,0,1,0,0,0,0,0,0,,
240852,M.,Antoine,Boyer,2023,ESP,Antoine.Boyer@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,,
240854,M.,Victor,Francois,2023,ESPD,Victor.Francois@insa-rouen.fr,1,A,,,2023,0,0,0,0,0,1,0,0,0,,
240860,MME,Mathilde,Chapelle,2023,ESP,Mathilde.Chapelle@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240862,MME,Adèle,Hubert,2023,ESP,Adèle.Hubert@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240863,M.,Satoshi,Liu,2022-RED-1A,FLE,Satoshi.Liu@insa-rouen.fr,SIB,J,,,2022,1,0,0,0,1,0,0,0,0,,
240873,MME,Arsène,Bertin,2023,ESP,Arsène.Bertin@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240876,M.,Suzanne,Lacroix,2023,ESP,Suzanne.Lacroix@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240887,M.,Valentin,Vidal,2023,ESP,Valentin.Vidal@insa-rouen.fr,1,C,"rattrapage I2, M4",,2023,0,0,0,1,0,0,0,0,0,,
240890,M.,Clémence,Benard,2023,ESP,Clémence.Benard@insa-rouen.fr,2,G,,,2023,0,0,0,1,0,0,0,0,0,,
240901,M.,Jin,Yamamoto,2024 - INT 2A,ESP,Jin.Yamamoto@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,0,0,,
240902,M.,Jiro,Kobayashi,2022,ALL,Jiro.Kobayashi@insa-rouen.fr,0,SA2,,,2022,0,0,1,0,0,0,0,0,0,,
240907,MME,Elodie,Benoit,2023,ESP,Elodie.Benoit@insa-rouen.fr,1,C,,passage en SIB ?,2023,0,0,0,1,0,0,0,0,0,,
240916,M.,Damien,Terrier,2023,ESP,Damien.Terrier@insa-rouen.fr,SIB,I,,,2023,0,0,0,1,0,0,0,0,0,,
240917,M.,Mylène,Brunet,2023,ESPD,Mylène.Brunet@insa-rouen.fr,2,F,,,2023,0,0,0,0,0,1,0,0,0,,
240921,M.,Anaïs,Denis,2023,ESP,Anaïs.Denis@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,,
240923,MME,Bao,Chen,2023,ESP,Bao.Chen@insa-rouen.fr,SIB,K,"rattrapage I1, I2, M4",,2023,0,0,0,1,0,0,0,0,0,,
240924,M.,Omar,Bouhaddi,2023,FLE,Omar.Bouhaddi@insa-rouen.fr,SIB,K,"rattrapage CTI, I2, M4",,2023,0,0,0,0,1,0,0,0,0,,
240927,MME,Tristan,Henry,2023,ESP,Tristan.Henry@insa-rouen.fr,1,C,,passage en SIB ?,2023,0,0,0,1,0,0,0,0,0,,
240928,M.,Gwendoline,Vasseur,2024 - INT 2A,ESPGD,Gwendoline.Vasseur@insa-rouen.fr,0,,,,2024,0,1,0,1,0,0,0,1,0,,
240932,MME,Mika,Phan,2022-RED-1A,FLE,Mika.Phan@insa-rouen.fr,SIB,K,rattrapage CTI,,2022,1,0,0,0,1,0,0,0,0,,
240936,M.,Hortense,Le Gall,2023,ALL,Hortense.Le Gall@insa-rouen.fr,2,F,,,2023,0,0,1,0,0,0,0,0,0,,
240940,MME,Noé,Noel,2023,ALL,Noé.Noel@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240942,M.,Tenzin,Wang,2022-RED-1A,FLE,Tenzin.Wang@insa-rouen.fr,SIB,I,,,2022,1,0,0,0,1,0,0,0,0,,
240944,M.,Mélanie,Fontaine,2023,ESP,Mélanie.Fontaine@insa-rouen.fr,1,B,,,2023,0,0,0,1,0,0,0,0,0,,
240948,M.,Robin,Hoarau,2023,ESP,Robin.Hoarau@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240949,M.,Corentin,Leger,2023,ESP,Corentin.Leger@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240950,M.,Emilien,Rossi,2023,ALL,Emilien.Rossi@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
240954,M.,Gabriel,Dubois,2023,ESPD,Gabriel.Dubois@insa-rouen.fr,1,A,rattrapage C2,,2023,0,0,0,0,0,1,0,0,0,,
240957,M.,Noham,Guibert,2023,ESP,Noham.Guibert@insa-rouen.fr,1,D,"rattrapage P3, P2, CTI",,2023,0,0,0,1,0,0,0,0,0,,
240961,MME,Mireille,Devaux,2023,ALL,Mireille.Devaux@insa-rouen.fr,SIB,K,,,2023,0,0,1,0,0,0,0,0,0,,
240968,M.,Loïs,Tessier,2023,ESP,Loïs.Tessier@insa-rouen.fr,1,D,,,2023,0,0,0,1,0,0,0,0,0,,
240969,M.,Isolde,Pelletier,2023,ESP,Isolde.Pelletier@insa-rouen.fr,2,H,"rattrapage M4, M5, CTI",,2023,0,0,0,1,0,0,0,0,0,,
240975,M.,Amélie,Dufresne,2024 - INT 2A,ALL,Amélie.Dufresne@insa-rouen.fr,0,,,,2024,0,1,1,0,0,0,0,0,0,,
240977,M.,Séraphine,Navarro,2023,ESP,Séraphine.Navarro@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240987,MME,Lazare,Dumont,2023,ESP,Lazare.Dumont@insa-rouen.fr,2,H,,,2023,0,0,0,1,0,0,0,0,0,,
240990,MME,Tom,Bouchet,2023,ESP,Tom.Bouchet@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240991,MME,Nadia,Mokhtar,2023,ALLD,Nadia.Mokhtar@insa-rouen.fr,SIB,I,Points de jury SF2,,2023,0,0,0,0,0,0,1,0,0,,
240992,MME,Jeanne,Leclerc,2023,ESP,Jeanne.Leclerc@insa-rouen.fr,1,B,rattrapage I2,,2023,0,0,0,1,0,0,0,0,0,,
240994,M.,Matéo,Gauthier,2023,ESP,Matéo.Gauthier@insa-rouen.fr,1,C,,,2023,0,0,0,1,0,0,0,0,0,,
240997,MME,Alexandre,Boutet,2023,ALL,Alexandre.Boutet@insa-rouen.fr,2,E,,,2023,0,0,1,0,0,0,0,0,0,,
241000,MME,Agathe,Godard,2023,ALLD,Agathe.Godard@insa-rouen.fr,1,D,,,2023,0,0,0,0,0,0,1,0,0,,
